repository,metric,classifier,precision,recall,f1,mcc,auc-pr
ansible-ThoTeam/nexus3-oss,delta,svc,0.45793650793650786,0.26587301587301587,0.3081632653061225,0.3047293567401155,0.5615173313236355
ansible-ThoTeam/nexus3-oss,delta,decision_tree,0.49126984126984136,0.25793650793650796,0.3145124716553288,0.3170869937677614,0.568857820084598
ansible-ThoTeam/nexus3-oss,delta,random_forest,0.5317460317460319,0.27976190476190477,0.3414965986394558,0.34346399599913824,0.5896904934456272
automium/service-kubernetes,pdg,naive_bayes,0.21044841792667854,0.808888888888889,0.30364367484367477,0.21375435775157528,0.4024357484620644
automium/service-kubernetes,pdg,logistic,0.0,0.0,0.0,0.0,0.4004864372145074
automium/service-kubernetes,pdg,svc,0.03333333333333333,0.013333333333333334,0.018666666666666665,0.018533511241801325,0.24069901827830237
automium/service-kubernetes,pdg,decision_tree,0.62,0.42888888888888893,0.49911111111111106,0.47681910101132224,0.7219236203253235
automium/service-kubernetes,pdg,random_forest,0.62,0.42888888888888893,0.49822222222222234,0.47703819136432296,0.7322133806739074
automium/service-kubernetes,iac,naive_bayes,0.720222222222222,0.7555555555555556,0.72631746031746,0.7084984157116934,0.7988905723905724
automium/service-kubernetes,iac,logistic,0.8555555555555554,0.8377777777777777,0.8328888888888885,0.8306748079233351,0.8724945054945052
automium/service-kubernetes,iac,svc,0.8911111111111111,0.8555555555555554,0.8595555555555552,0.8600606163527552,0.90182982090722
automium/service-kubernetes,iac,decision_tree,0.912222222222222,0.951111111111111,0.9216507936507935,0.9202711801880831,0.9302785204991089
automium/service-kubernetes,iac,random_forest,0.9288888888888888,0.951111111111111,0.9304126984126985,0.9314335881807603,0.9428148148148148
automium/service-kubernetes,process,naive_bayes,0.10218838416485462,0.7466666666666667,0.1690110883982648,-0.009694184699705422,0.44689789273072716
automium/service-kubernetes,process,logistic,0.08266666666666667,0.048888888888888885,0.052444444444444446,0.03862466171284506,0.40280768469003764
automium/service-kubernetes,process,svc,0.03333333333333333,0.013333333333333334,0.018666666666666665,0.0166470577015703,0.4067944939106402
automium/service-kubernetes,process,decision_tree,0.08967320261437907,0.06666666666666667,0.061037037037037035,0.03652392662152236,0.4784670341830187
automium/service-kubernetes,process,random_forest,0.0637777777777778,0.06,0.051111111111111114,0.03445036781733141,0.44281192856589285
automium/service-kubernetes,delta,naive_bayes,0.06666666666666667,0.035555555555555556,0.04444444444444444,0.03218283443151255,0.4834388731898961
automium/service-kubernetes,delta,logistic,0.006666666666666667,0.0044444444444444444,0.005333333333333334,-0.0014094388807066739,0.46031547914876103
automium/service-kubernetes,delta,svc,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.011057580859891662,0.4700425670048432
automium/service-kubernetes,delta,decision_tree,0.057777777777777775,0.04,0.04,0.032546703752408895,0.5089503874925869
