repository,classifier,rank
ansible-community/ansible-vault,naive_bayes,3.5
ansible-community/ansible-vault,logistic,5.0
ansible-community/ansible-vault,svc,3.5
ansible-community/ansible-vault,decision_tree,2.0
ansible-community/ansible-vault,random_forest,1.0
florianutz/Ubuntu1804-CIS,naive_bayes,5.0
florianutz/Ubuntu1804-CIS,logistic,4.0
florianutz/Ubuntu1804-CIS,svc,3.0
florianutz/Ubuntu1804-CIS,decision_tree,1.5
florianutz/Ubuntu1804-CIS,random_forest,1.5
dj-wasabi/ansible-telegraf,naive_bayes,1.0
dj-wasabi/ansible-telegraf,logistic,5.0
dj-wasabi/ansible-telegraf,svc,2.5
dj-wasabi/ansible-telegraf,decision_tree,4.0
dj-wasabi/ansible-telegraf,random_forest,2.5
rvm/rvm1-ansible,naive_bayes,5.0
rvm/rvm1-ansible,logistic,4.0
rvm/rvm1-ansible,svc,3.0
rvm/rvm1-ansible,decision_tree,2.0
rvm/rvm1-ansible,random_forest,1.0
cloudalchemy/ansible-blackbox-exporter,naive_bayes,3.0
cloudalchemy/ansible-blackbox-exporter,logistic,3.0
cloudalchemy/ansible-blackbox-exporter,svc,3.0
cloudalchemy/ansible-blackbox-exporter,decision_tree,3.0
cloudalchemy/ansible-blackbox-exporter,random_forest,3.0
tulibraries/ansible-role-airflow,naive_bayes,1.0
tulibraries/ansible-role-airflow,logistic,3.5
tulibraries/ansible-role-airflow,svc,3.5
tulibraries/ansible-role-airflow,decision_tree,3.5
tulibraries/ansible-role-airflow,random_forest,3.5
idealista/mysql_role,naive_bayes,2.0
idealista/mysql_role,logistic,5.0
idealista/mysql_role,svc,4.0
idealista/mysql_role,decision_tree,2.0
idealista/mysql_role,random_forest,2.0
Graylog2/graylog-ansible-role,naive_bayes,1.0
Graylog2/graylog-ansible-role,logistic,3.5
Graylog2/graylog-ansible-role,svc,3.5
Graylog2/graylog-ansible-role,decision_tree,5.0
Graylog2/graylog-ansible-role,random_forest,2.0
mrlesmithjr/ansible-netdata,naive_bayes,3.5
mrlesmithjr/ansible-netdata,logistic,5.0
mrlesmithjr/ansible-netdata,svc,3.5
mrlesmithjr/ansible-netdata,decision_tree,1.0
mrlesmithjr/ansible-netdata,random_forest,2.0
willshersystems/ansible-sshd,naive_bayes,3.5
willshersystems/ansible-sshd,logistic,5.0
willshersystems/ansible-sshd,svc,3.5
willshersystems/ansible-sshd,decision_tree,1.0
willshersystems/ansible-sshd,random_forest,2.0
idealista/consul_role,naive_bayes,2.5
idealista/consul_role,logistic,5.0
idealista/consul_role,svc,2.5
idealista/consul_role,decision_tree,2.5
idealista/consul_role,random_forest,2.5
ansible-lockdown/RHEL7-STIG,naive_bayes,4.0
ansible-lockdown/RHEL7-STIG,logistic,5.0
ansible-lockdown/RHEL7-STIG,svc,3.0
ansible-lockdown/RHEL7-STIG,decision_tree,1.0
ansible-lockdown/RHEL7-STIG,random_forest,2.0
stone-payments/ansible-rabbitmq,naive_bayes,2.0
stone-payments/ansible-rabbitmq,logistic,5.0
stone-payments/ansible-rabbitmq,svc,4.0
stone-payments/ansible-rabbitmq,decision_tree,2.0
stone-payments/ansible-rabbitmq,random_forest,2.0
naftulikay/ansible-role-degoss,naive_bayes,4.0
naftulikay/ansible-role-degoss,logistic,4.0
naftulikay/ansible-role-degoss,svc,4.0
naftulikay/ansible-role-degoss,decision_tree,1.5
naftulikay/ansible-role-degoss,random_forest,1.5
CSCfi/ansible-role-users,naive_bayes,3.0
CSCfi/ansible-role-users,logistic,3.0
CSCfi/ansible-role-users,svc,3.0
CSCfi/ansible-role-users,decision_tree,3.0
CSCfi/ansible-role-users,random_forest,3.0
mrlesmithjr/ansible-manage-lvm,naive_bayes,4.0
mrlesmithjr/ansible-manage-lvm,logistic,5.0
mrlesmithjr/ansible-manage-lvm,svc,3.0
mrlesmithjr/ansible-manage-lvm,decision_tree,1.5
mrlesmithjr/ansible-manage-lvm,random_forest,1.5
cloudalchemy/ansible-pushgateway,naive_bayes,1.5
cloudalchemy/ansible-pushgateway,logistic,4.5
cloudalchemy/ansible-pushgateway,svc,4.5
cloudalchemy/ansible-pushgateway,decision_tree,3.0
cloudalchemy/ansible-pushgateway,random_forest,1.5
antoiner77/caddy-ansible,naive_bayes,1.5
antoiner77/caddy-ansible,logistic,4.0
antoiner77/caddy-ansible,svc,1.5
antoiner77/caddy-ansible,decision_tree,5.0
antoiner77/caddy-ansible,random_forest,3.0
idealista/nexus-role,naive_bayes,1.0
idealista/nexus-role,logistic,3.5
idealista/nexus-role,svc,3.5
idealista/nexus-role,decision_tree,3.5
idealista/nexus-role,random_forest,3.5
Oefenweb/ansible-supervisor,naive_bayes,4.0
Oefenweb/ansible-supervisor,logistic,3.0
Oefenweb/ansible-supervisor,svc,5.0
Oefenweb/ansible-supervisor,decision_tree,1.5
Oefenweb/ansible-supervisor,random_forest,1.5
kibatic/ansible-traefik,naive_bayes,3.0
kibatic/ansible-traefik,logistic,4.0
kibatic/ansible-traefik,svc,5.0
kibatic/ansible-traefik,decision_tree,2.0
kibatic/ansible-traefik,random_forest,1.0
arillso/ansible.logrotate,naive_bayes,3.0
arillso/ansible.logrotate,logistic,5.0
arillso/ansible.logrotate,svc,4.0
arillso/ansible.logrotate,decision_tree,1.0
arillso/ansible.logrotate,random_forest,2.0
m4rcu5nl/ansible-role-zerotier,naive_bayes,4.5
m4rcu5nl/ansible-role-zerotier,logistic,4.5
m4rcu5nl/ansible-role-zerotier,svc,2.0
m4rcu5nl/ansible-role-zerotier,decision_tree,2.0
m4rcu5nl/ansible-role-zerotier,random_forest,2.0
fgci-org/ansible-role-cuda,naive_bayes,1.0
fgci-org/ansible-role-cuda,logistic,4.0
fgci-org/ansible-role-cuda,svc,4.0
fgci-org/ansible-role-cuda,decision_tree,4.0
fgci-org/ansible-role-cuda,random_forest,2.0
dokku/ansible-dokku,naive_bayes,5.0
dokku/ansible-dokku,logistic,1.0
dokku/ansible-dokku,svc,2.0
dokku/ansible-dokku,decision_tree,3.5
dokku/ansible-dokku,random_forest,3.5
linux-system-roles/storage,naive_bayes,3.0
linux-system-roles/storage,logistic,3.0
linux-system-roles/storage,svc,3.0
linux-system-roles/storage,decision_tree,3.0
linux-system-roles/storage,random_forest,3.0
florianutz/Ubuntu1604-CIS,naive_bayes,3.5
florianutz/Ubuntu1604-CIS,logistic,5.0
florianutz/Ubuntu1604-CIS,svc,3.5
florianutz/Ubuntu1604-CIS,decision_tree,1.5
florianutz/Ubuntu1604-CIS,random_forest,1.5
idealista/java_role,naive_bayes,3.5
idealista/java_role,logistic,5.0
idealista/java_role,svc,3.5
idealista/java_role,decision_tree,2.0
idealista/java_role,random_forest,1.0
diodonfrost/ansible-role-mariadb,naive_bayes,2.0
diodonfrost/ansible-role-mariadb,logistic,4.5
diodonfrost/ansible-role-mariadb,svc,4.5
diodonfrost/ansible-role-mariadb,decision_tree,2.0
diodonfrost/ansible-role-mariadb,random_forest,2.0
newrelic/infrastructure-agent-ansible,naive_bayes,5.0
newrelic/infrastructure-agent-ansible,logistic,2.0
newrelic/infrastructure-agent-ansible,svc,4.0
newrelic/infrastructure-agent-ansible,decision_tree,2.0
newrelic/infrastructure-agent-ansible,random_forest,2.0
elastic/ansible-beats,naive_bayes,2.0
elastic/ansible-beats,logistic,4.0
elastic/ansible-beats,svc,5.0
elastic/ansible-beats,decision_tree,1.0
elastic/ansible-beats,random_forest,3.0
wcm-io-devops/ansible-conga-ansible-controlhost,naive_bayes,5.0
wcm-io-devops/ansible-conga-ansible-controlhost,logistic,3.5
wcm-io-devops/ansible-conga-ansible-controlhost,svc,3.5
wcm-io-devops/ansible-conga-ansible-controlhost,decision_tree,2.0
wcm-io-devops/ansible-conga-ansible-controlhost,random_forest,1.0
stackhpc/ansible-role-os-images,naive_bayes,3.0
stackhpc/ansible-role-os-images,logistic,3.0
stackhpc/ansible-role-os-images,svc,3.0
stackhpc/ansible-role-os-images,decision_tree,3.0
stackhpc/ansible-role-os-images,random_forest,3.0
infOpen/ansible-role-docker,naive_bayes,4.5
infOpen/ansible-role-docker,logistic,2.0
infOpen/ansible-role-docker,svc,2.0
infOpen/ansible-role-docker,decision_tree,4.5
infOpen/ansible-role-docker,random_forest,2.0
stackhpc/ansible-role-libvirt-vm,naive_bayes,1.0
stackhpc/ansible-role-libvirt-vm,logistic,3.5
stackhpc/ansible-role-libvirt-vm,svc,3.5
stackhpc/ansible-role-libvirt-vm,decision_tree,3.5
stackhpc/ansible-role-libvirt-vm,random_forest,3.5
nwoetzel/ansible-role-eclipse,naive_bayes,4.0
nwoetzel/ansible-role-eclipse,logistic,4.0
nwoetzel/ansible-role-eclipse,svc,4.0
nwoetzel/ansible-role-eclipse,decision_tree,1.5
nwoetzel/ansible-role-eclipse,random_forest,1.5
mimacom/ansible-role-bamboo,naive_bayes,4.5
mimacom/ansible-role-bamboo,logistic,4.5
mimacom/ansible-role-bamboo,svc,1.0
mimacom/ansible-role-bamboo,decision_tree,2.5
mimacom/ansible-role-bamboo,random_forest,2.5
AlexeySetevoi/ansible-clickhouse,naive_bayes,2.5
AlexeySetevoi/ansible-clickhouse,logistic,5.0
AlexeySetevoi/ansible-clickhouse,svc,2.5
AlexeySetevoi/ansible-clickhouse,decision_tree,2.5
AlexeySetevoi/ansible-clickhouse,random_forest,2.5
hadret/ansible-role-containers,naive_bayes,3.0
hadret/ansible-role-containers,logistic,3.0
hadret/ansible-role-containers,svc,3.0
hadret/ansible-role-containers,decision_tree,3.0
hadret/ansible-role-containers,random_forest,3.0
infOpen/ansible-role-fail2ban,naive_bayes,3.0
infOpen/ansible-role-fail2ban,logistic,3.0
infOpen/ansible-role-fail2ban,svc,3.0
infOpen/ansible-role-fail2ban,decision_tree,3.0
infOpen/ansible-role-fail2ban,random_forest,3.0
cloudalchemy/ansible-smokeping_prober,naive_bayes,3.0
cloudalchemy/ansible-smokeping_prober,logistic,3.0
cloudalchemy/ansible-smokeping_prober,svc,3.0
cloudalchemy/ansible-smokeping_prober,decision_tree,3.0
cloudalchemy/ansible-smokeping_prober,random_forest,3.0
galaxyproject/ansible-galaxy-tools,naive_bayes,3.0
galaxyproject/ansible-galaxy-tools,logistic,3.0
galaxyproject/ansible-galaxy-tools,svc,3.0
galaxyproject/ansible-galaxy-tools,decision_tree,3.0
galaxyproject/ansible-galaxy-tools,random_forest,3.0
