repository,metric,rank
sensu/sensu-ansible,pdg,5.0
sensu/sensu-ansible,delta,2.0
sensu/sensu-ansible,iac,15.0
sensu/sensu-ansible,process,1.0
sensu/sensu-ansible,pdg_delta,7.0
sensu/sensu-ansible,pdg_iac,14.0
sensu/sensu-ansible,pdg_process,6.0
sensu/sensu-ansible,delta_iac,10.0
sensu/sensu-ansible,delta_process,3.0
sensu/sensu-ansible,iac_process,13.0
sensu/sensu-ansible,pdg_delta_iac,8.0
sensu/sensu-ansible,pdg_delta_process,4.0
sensu/sensu-ansible,pdg_iac_process,11.0
sensu/sensu-ansible,delta_iac_process,12.0
sensu/sensu-ansible,pdg_iac_delta_process,9.0
cloudalchemy/ansible-grafana,pdg,7.0
cloudalchemy/ansible-grafana,delta,1.0
cloudalchemy/ansible-grafana,iac,14.0
cloudalchemy/ansible-grafana,process,2.0
cloudalchemy/ansible-grafana,pdg_delta,4.0
cloudalchemy/ansible-grafana,pdg_iac,15.0
cloudalchemy/ansible-grafana,pdg_process,5.0
cloudalchemy/ansible-grafana,delta_iac,13.0
cloudalchemy/ansible-grafana,delta_process,3.0
cloudalchemy/ansible-grafana,iac_process,11.0
cloudalchemy/ansible-grafana,pdg_delta_iac,9.0
cloudalchemy/ansible-grafana,pdg_delta_process,6.0
cloudalchemy/ansible-grafana,pdg_iac_process,12.0
cloudalchemy/ansible-grafana,delta_iac_process,8.0
cloudalchemy/ansible-grafana,pdg_iac_delta_process,10.0
openstack/openstack-ansible-os_nova,pdg,7.0
openstack/openstack-ansible-os_nova,delta,3.0
openstack/openstack-ansible-os_nova,iac,15.0
openstack/openstack-ansible-os_nova,process,2.0
openstack/openstack-ansible-os_nova,pdg_delta,6.0
openstack/openstack-ansible-os_nova,pdg_iac,13.0
openstack/openstack-ansible-os_nova,pdg_process,5.0
openstack/openstack-ansible-os_nova,delta_iac,11.0
openstack/openstack-ansible-os_nova,delta_process,1.0
openstack/openstack-ansible-os_nova,iac_process,10.0
openstack/openstack-ansible-os_nova,pdg_delta_iac,14.0
openstack/openstack-ansible-os_nova,pdg_delta_process,4.0
openstack/openstack-ansible-os_nova,pdg_iac_process,12.0
openstack/openstack-ansible-os_nova,delta_iac_process,9.0
openstack/openstack-ansible-os_nova,pdg_iac_delta_process,8.0
CSCfi/ansible-role-slurm,pdg,7.0
CSCfi/ansible-role-slurm,delta,2.0
CSCfi/ansible-role-slurm,iac,14.0
CSCfi/ansible-role-slurm,process,1.0
CSCfi/ansible-role-slurm,pdg_delta,6.0
CSCfi/ansible-role-slurm,pdg_iac,12.5
CSCfi/ansible-role-slurm,pdg_process,5.0
CSCfi/ansible-role-slurm,delta_iac,11.0
CSCfi/ansible-role-slurm,delta_process,3.0
CSCfi/ansible-role-slurm,iac_process,10.0
CSCfi/ansible-role-slurm,pdg_delta_iac,15.0
CSCfi/ansible-role-slurm,pdg_delta_process,4.0
CSCfi/ansible-role-slurm,pdg_iac_process,12.5
CSCfi/ansible-role-slurm,delta_iac_process,8.0
CSCfi/ansible-role-slurm,pdg_iac_delta_process,9.0
openwisp/ansible-openwisp2,pdg,7.0
openwisp/ansible-openwisp2,delta,1.0
openwisp/ansible-openwisp2,iac,15.0
openwisp/ansible-openwisp2,process,2.0
openwisp/ansible-openwisp2,pdg_delta,6.0
openwisp/ansible-openwisp2,pdg_iac,14.0
openwisp/ansible-openwisp2,pdg_process,5.0
openwisp/ansible-openwisp2,delta_iac,13.0
openwisp/ansible-openwisp2,delta_process,3.0
openwisp/ansible-openwisp2,iac_process,8.0
openwisp/ansible-openwisp2,pdg_delta_iac,12.0
openwisp/ansible-openwisp2,pdg_delta_process,4.0
openwisp/ansible-openwisp2,pdg_iac_process,11.0
openwisp/ansible-openwisp2,delta_iac_process,10.0
openwisp/ansible-openwisp2,pdg_iac_delta_process,9.0
cloudalchemy/ansible-prometheus,pdg,9.0
cloudalchemy/ansible-prometheus,delta,2.0
cloudalchemy/ansible-prometheus,iac,13.0
cloudalchemy/ansible-prometheus,process,3.0
cloudalchemy/ansible-prometheus,pdg_delta,6.0
cloudalchemy/ansible-prometheus,pdg_iac,15.0
cloudalchemy/ansible-prometheus,pdg_process,5.0
cloudalchemy/ansible-prometheus,delta_iac,8.0
cloudalchemy/ansible-prometheus,delta_process,1.0
cloudalchemy/ansible-prometheus,iac_process,10.0
cloudalchemy/ansible-prometheus,pdg_delta_iac,12.0
cloudalchemy/ansible-prometheus,pdg_delta_process,4.0
cloudalchemy/ansible-prometheus,pdg_iac_process,14.0
cloudalchemy/ansible-prometheus,delta_iac_process,7.0
cloudalchemy/ansible-prometheus,pdg_iac_delta_process,11.0
ANXS/postgresql,pdg,7.0
ANXS/postgresql,delta,1.0
ANXS/postgresql,iac,15.0
ANXS/postgresql,process,3.0
ANXS/postgresql,pdg_delta,6.0
ANXS/postgresql,pdg_iac,12.0
ANXS/postgresql,pdg_process,5.0
ANXS/postgresql,delta_iac,13.0
ANXS/postgresql,delta_process,2.0
ANXS/postgresql,iac_process,9.0
ANXS/postgresql,pdg_delta_iac,14.0
ANXS/postgresql,pdg_delta_process,4.0
ANXS/postgresql,pdg_iac_process,11.0
ANXS/postgresql,delta_iac_process,10.0
ANXS/postgresql,pdg_iac_delta_process,8.0
openstack/openstack-ansible-rabbitmq_server,pdg,7.0
openstack/openstack-ansible-rabbitmq_server,delta,3.0
openstack/openstack-ansible-rabbitmq_server,iac,15.0
openstack/openstack-ansible-rabbitmq_server,process,2.0
